game_number,date,opponent,location,result,goals_for,goals_against,points_game,points_total,motm,dotd
1,2018-09-22,Broxbourne III,H,L,2,3,0,0,CF7,MD19
2,2018-09-29,Potters Bar II,A,L,7,0,0,0,HF42,MD19
3,2018-10-06,Bishops Stortford II,A,L,4,5,0,0,EO30,JG15
4,2018-10-13,Vauxhall I,H,W,5,4,3,3,CJ26,JR1
5,2018-10-20,St Albans V,A,W,3,1,3,6,NS13,TM10
6,2018-10-27,Harpenden II,H,D,0,0,1,7,SC35,AM6
7,2018-11-03,Blueharts IV,A,D,1,1,1,8,NS13,SC35
8,2018-11-10,Berkhamsted II,H,W,3,2,3,11,CJ26,NS13
9,2018-11-17,Shefford and Sandy II,A,L,0,1,0,11,RZ37,JL27
10,2018-11-24,St Albans IV,H,W,6,2,3,14,TM10,CJ26
11,2018-12-01,Hertford II,A,W,2,0,3,17,CJ26,SC35
12,2018-12-08,Broxbourne III,A,L,3,4,0,17,HF42,JL27
13,2019-01-12,Potters Bar II,H,W,5,1,3,120,NS13,JS61
14,2019-01-19,Bishops Stortford II,H,W,6,0,3,23,TM10,MD19
